steel,carbon,hardness,condition,formability,strength,surface_quality,shape,thick,width,len,bore,target
A,8,0,S,2,0,G,COIL,0.7,610.0,0,0,3
R,0,0,S,2,0,E,COIL,3.2,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.7,1300.0,762,0,3
A,0,60,S,2,0,G,COIL,2.801,385.1,0,0,3
A,0,60,S,2,0,G,SHEET,0.801,255.0,269,0,3
A,0,45,S,2,0,D,COIL,1.6,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
A,0,0,S,2,0,E,COIL,3.3,152.0,0,0,3
R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
A,0,0,S,3,0,E,SHEET,1.0,1320.0,762,0,3
R,0,0,S,2,0,E,COIL,1.2,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.3,1320.0,4880,0,3
R,0,0,S,2,0,E,SHEET,1.2,610.0,150,0,3
A,0,45,S,2,0,D,COIL,1.2,609.9,0,0,3
A,0,0,S,2,0,F,SHEET,0.6,1220.0,761,0,3
A,0,0,S,2,0,E,SHEET,4.0,1320.0,762,0,3
A,10,0,S,2,0,E,COIL,3.201,600.0,0,0,U
A,0,80,S,2,0,G,SHEET,0.8,610.0,4170,0,U
A,0,0,S,2,0,E,SHEET,3.2,1320.1,762,0,3
A,0,70,S,2,0,G,COIL,0.501,1200.1,0,0,3
A,0,0,S,2,0,F,SHEET,0.6,610.0,761,0,3
K,55,0,S,2,0,G,COIL,0.8,610.0,0,0,3
A,0,85,S,2,0,G,COIL,1.001,50.0,0,0,U
S,70,0,S,2,0,E,COIL,3.2,609.9,0,0,3
A,0,50,S,2,0,G,COIL,3.2,1320.0,0,0,3
A,0,60,S,2,0,G,SHEET,0.8,356.0,4880,0,3
R,0,0,S,2,0,E,SHEET,0.7,609.9,4170,0,3
K,55,0,S,2,0,G,COIL,0.8,900.0,0,0,3
W,0,0,S,2,310,G,COIL,1.6,610.0,0,500,3
A,0,0,S,3,0,F,SHEET,0.6,610.0,4880,0,5
A,0,45,S,2,0,E,SHEET,1.4,1320.0,4170,0,3
A,0,45,S,2,0,D,SHEET,0.699,1320.0,762,0,3
A,0,85,S,2,0,G,COIL,4.0,450.0,0,0,U
A,0,0,S,3,0,F,SHEET,0.75,1320.0,4880,0,3
A,0,0,S,3,0,E,COIL,1.6,1220.0,0,0,5
M,0,0,S,2,350,G,COIL,1.399,1320.0,0,0,3
A,0,50,S,2,0,G,COIL,0.6,1320.0,0,0,3
R,0,0,S,2,0,E,COIL,0.651,20.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.6,374.9,4880,0,3
A,0,0,S,3,0,E,COIL,1.6,50.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.699,1320.0,4880,0,3
A,0,50,S,2,0,E,COIL,0.7,610.0,0,0,3
R,0,0,S,3,0,E,SHEET,0.6,610.0,762,0,3
A,0,0,S,3,0,E,COIL,0.799,20.0,0,0,5
A,0,0,S,2,0,F,SHEET,0.6,610.0,301,0,3
R,0,0,S,3,0,E,SHEET,0.601,610.0,4880,0,3
A,0,45,S,2,0,D,SHEET,0.7,1320.0,4880,0,3
W,0,0,S,2,310,G,COIL,2.5,1274.9,0,500,3
A,0,0,S,2,0,G,SHEET,0.699,1320.0,4880,0,3
A,0,0,S,2,0,E,SHEET,0.7,609.9,762,0,3
A,0,0,S,1,0,G,SHEET,0.3,1320.0,761,0,3
R,0,0,S,2,0,E,SHEET,1.599,1300.0,762,0,3
A,0,45,S,2,0,D,SHEET,0.599,150.0,4880,0,3
A,0,0,S,2,0,E,COIL,0.7,1320.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.7,374.9,4880,0,3
A,0,0,A,2,0,G,SHEET,0.301,610.0,762,0,3
A,0,0,S,2,500,G,COIL,1.6,1320.0,0,0,3
A,0,0,S,2,0,G,SHEET,3.2,1300.0,762,0,3
A,0,0,S,5,0,E,SHEET,1.2,610.0,762,0,3
A,0,0,S,5,0,E,SHEET,1.2,610.0,4880,0,3
A,0,0,S,3,0,F,SHEET,0.6,1220.0,762,0,3
A,0,45,S,2,0,D,COIL,0.301,610.0,0,0,3
A,0,85,S,2,0,E,SHEET,1.0,610.0,762,0,U
R,0,0,S,2,0,E,SHEET,1.6,500.0,762,0,3
A,0,0,S,1,0,G,SHEET,0.301,515.0,610,0,3
A,0,0,S,3,0,E,SHEET,1.2,335.0,611,0,5
R,0,0,S,3,0,E,SHEET,0.8,1320.0,762,0,2
A,0,0,S,2,0,E,COIL,0.4,20.0,0,0,3
A,0,0,S,3,0,E,COIL,0.6,250.0,0,0,5
A,0,70,S,2,0,G,COIL,0.801,610.0,0,600,3
R,0,0,S,2,0,E,COIL,3.5,610.0,0,600,3
A,0,0,S,1,0,G,SHEET,0.699,610.0,762,0,3
R,0,0,S,2,0,E,COIL,0.799,1300.0,0,0,3
A,4,0,S,2,0,G,COIL,0.5,1130.0,0,0,3
R,0,0,S,3,0,E,SHEET,0.6,609.0,612,0,3
A,0,0,S,2,500,G,SHEET,1.6,609.9,4880,0,2
A,0,0,S,3,0,G,COIL,0.601,1320.0,0,0,3
A,0,70,S,2,0,E,COIL,2.0,1250.0,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,1320.0,4880,0,3
A,0,45,S,2,0,E,COIL,0.7,610.0,0,0,3
A,0,0,S,2,0,F,SHEET,0.6,610.0,762,0,3
V,0,0,S,2,0,E,SHEET,1.599,610.0,1,0,2
A,0,50,S,2,0,G,COIL,0.8,609.9,0,0,3
R,0,0,S,3,0,E,SHEET,1.6,610.0,4880,0,3
K,45,0,S,2,0,E,COIL,3.2,640.0,0,600,3
R,0,0,S,3,0,G,SHEET,0.8,1320.0,4880,0,2
A,0,0,S,2,0,E,COIL,1.6,610.0,0,0,3
M,0,0,S,2,600,G,COIL,1.6,1090.0,0,0,2
A,0,0,A,1,0,G,COIL,0.5,610.0,0,0,5
A,10,0,S,2,0,E,COIL,1.201,1320.0,0,0,U
A,0,0,S,1,0,G,SHEET,0.3,610.0,762,0,3
A,0,0,S,2,0,E,SHEET,0.7,1320.1,4880,0,3
A,0,0,S,2,0,E,SHEET,0.7,610.0,4880,0,3
K,55,0,S,2,0,E,COIL,1.5,640.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.599,609.9,4880,0,3
